date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:40	11468/11468	---M-Z	200	added ('OK')	text/html	etag:W/%222ccc-jhQ89JLUYxvQd9dzm7UATNstCSo%22	http://lsxs.me/slices	C:/Users/ACER/Desktop/short/slices/lsxs.me/slices.html	(from )
14:14:41	9376/9376	---M-Z	200	added ('OK')	text/html	etag:W/%227f20-iFNod6rJEqwe8WG0ryVu0AUoL8k%22	http://lsxs.me/robots.txt		(from )
14:14:42	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:W/%223aee-17da9229e30%22	http://lsxs.me/images/favicon3.ico	C:/Users/ACER/Desktop/short/slices/lsxs.me/images/favicon3.ico	(from http://lsxs.me/slices)
14:14:42	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/ACER/Desktop/short/slices/www.google-analytics.com/analytics.js	(from http://lsxs.me/slices)
14:14:42	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/ACER/Desktop/short/slices/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://lsxs.me/slices)
14:14:43	1729/1729	---M-Z	200	added ('OK')	text/css	etag:W/%226c1-17da9229e30%22	http://lsxs.me/styles/styles.css	C:/Users/ACER/Desktop/short/slices/lsxs.me/styles/styles.css	(from http://lsxs.me/slices)
14:14:44	2785/2785	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20May%202022%2008:44:45%20GMT	https://use.typekit.net/uok8swb.css	C:/Users/ACER/Desktop/short/slices/use.typekit.net/uok8swb.css	(from http://lsxs.me/slices)
14:14:45	477061/477061	---M--	200	added ('OK')	image/jpeg	etag:%22bf2b4b93535f544b2dfad21c60220811%22	https://res.cloudinary.com/marcofugaro/image/upload/v1570113726/simone-hutsch-skyscrapers_n7vgyi.jpg	C:/Users/ACER/Desktop/short/slices/res.cloudinary.com/marcofugaro/image/upload/v1570113726/simone-hutsch-skyscrapers_n7vgyi.jpg	(from http://lsxs.me/slices)
14:14:45	73261/73261	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed2-11e2d%22	https://cdnjs.cloudflare.com/ajax/libs/lodash.js/4.17.15/lodash.min.js	C:/Users/ACER/Desktop/short/slices/cdnjs.cloudflare.com/ajax/libs/lodash.js/4.17.15/lodash.min.js	(from http://lsxs.me/slices)
14:14:46	1596/1596	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2f-63c%22	https://cdnjs.cloudflare.com/ajax/libs/d3-polygon/1.0.3/d3-polygon.min.js	C:/Users/ACER/Desktop/short/slices/cdnjs.cloudflare.com/ajax/libs/d3-polygon/1.0.3/d3-polygon.min.js	(from http://lsxs.me/slices)
14:14:47	36608/36608	---M-Z	200	added ('OK')	text/javascript	etag:W/%228972df5dd74e170aee339c75b429398e%22	https://res.cloudinary.com/marcofugaro/raw/upload/v1570116091/d3-delaunay_hkfqs4.js	C:/Users/ACER/Desktop/short/slices/res.cloudinary.com/marcofugaro/raw/upload/v1570116091/d3-delaunay_hkfqs4.js	(from http://lsxs.me/slices)
14:15:14	623128/623128	---M--	200	added ('OK')	image/jpeg	etag:W/%2298218-17da9229e30%22	http://lsxs.me/images/imaginary-flavour-oNc7DDJIdpk-unsplash.jpg	C:/Users/ACER/Desktop/short/slices/lsxs.me/images/imaginary-flavour-oNc7DDJIdpk-unsplash.jpg	(from http://lsxs.me/slices)
14:16:42	5/5	---M--	200	added ('OK')	text/css	etag:%22613482d4-5%22	https://p.typekit.net/p.css?s=1&k=uok8swb&ht=tk&f=5631.11258.22797&a=1494256&app=typekit&e=css	C:/Users/ACER/Desktop/short/slices/p.typekit.net/p76f2.css	(from https://use.typekit.net/uok8swb.css)
14:16:48	33760/33760	---M--	200	added ('OK')	application/font-woff2	etag:%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/le196	(from https://use.typekit.net/uok8swb.css)
14:16:54	34516/34516	---M--	200	added ('OK')	application/font-woff	etag:%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/de196	(from https://use.typekit.net/uok8swb.css)
14:17:00	50064/50064	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:17:04	22160/22160	---M--	200	added ('OK')	application/font-woff2	etag:%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/077186/00000000000000000001793e/27/le196	(from https://use.typekit.net/uok8swb.css)
14:17:08	22252/22252	---M--	200	added ('OK')	application/font-woff	etag:%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/077186/00000000000000000001793e/27/de196	(from https://use.typekit.net/uok8swb.css)
14:17:12	29804/29804	---M-Z	200	added ('OK')	font/opentype	etag:W/%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/077186/00000000000000000001793e/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:17:20	14228/14228	---M--	200	added ('OK')	application/font-woff2	etag:%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/657ff9/000000000000000000014a2e/27/le196	(from https://use.typekit.net/uok8swb.css)
14:17:23	14872/14872	---M--	200	added ('OK')	application/font-woff	etag:%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/657ff9/000000000000000000014a2e/27/de196	(from https://use.typekit.net/uok8swb.css)
14:17:25	30032/30032	---M-Z	200	added ('OK')	font/opentype	etag:W/%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/slices/use.typekit.net/af/657ff9/000000000000000000014a2e/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:18:09	741404/741404	---M--	200	added ('OK')	image/jpeg	etag:W/%22b501c-17da9229e30%22	http://lsxs.me/images/GirlChain/A.jpg	C:/Users/ACER/Desktop/short/slices/lsxs.me/images/GirlChain/A.jpg	(from http://lsxs.me/slices)
14:18:18	823468/823468	---M--	200	added ('OK')	image/jpeg	etag:W/%22c90ac-17da9229e30%22	http://lsxs.me/images/GirlChain/B.jpg	C:/Users/ACER/Desktop/short/slices/lsxs.me/images/GirlChain/B.jpg	(from http://lsxs.me/slices)
14:18:53	1802741/1802741	---M--	200	added ('OK')	image/jpeg	etag:W/%221b81f5-17da9229e30%22	http://lsxs.me/images/pexels-maxime-francis-2246476.jpg	C:/Users/ACER/Desktop/short/slices/lsxs.me/images/pexels-maxime-francis-2246476.jpg	(from http://lsxs.me/slices)
14:18:53	1/1	---M--	200	added ('OK')	text/plain	etag:%22626c8b7e-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/uok8swb.css)
